Nr,Kod stacji,Kod międzynarodowy,Nazwa stacji,"Stary Kod stacji (o ile inny od aktualnego)",Data uruchomienia,Data zamknięcia,Typ stacji,Typ obszaru,Rodzaj stacji,Województwo,Miejscowość,Adres,WGS84 φ N,WGS84 λ E
695,PdLomSikorsk,PL0151A,"Łomża, ul. Sikorskiego",PdLomzaSikorskiego,2002-01-01,,tło,miejski,kontenerowa stacjonarna,PODLASKIE,Łomża,ul. Sikorskiego 48/94,53.181394,22.054381
696,PdLomzaKopernika16,,Lomza Kopernika16,,1996-07-01,2004-04-30,tło,miejski,w budynku,PODLASKIE,Łomża,ul. Kopernika,53.174836,22.075947
697,PdLomzaSadowa,,Łomża ul Sadowa 3,,1994-01-02,2002-12-31,tło,miejski,w budynku,PODLASKIE,Łomża,ul. Sadowa 3,53.177778,22.082500
698,PdSiemPilsudskiego,,Siemiatycze - lab. mobilne,,2008-01-18,2008-12-31,tło,miejski,mobilna,PODLASKIE,Siemiatycze,ul. Piłsudskiego,52.423019,22.863833
699,PdSokol1Maja,,Sokółka ul 1- go Maja 13,,1991-01-03,2002-12-31,tło,miejski,w budynku,PODLASKIE,Sokółka,ul. 1 Maja 13,53.404722,23.499444
700,PdSuw1Maja,,Suwałki ul. 1 - go Maja 12,,1994-01-01,2002-12-31,tło,miejski,w budynku,PODLASKIE,Suwałki,ul. 1 Maja,54.099675,22.935967
701,PdSuwPulask2,PL0706A,"Suwałki, ul. Pułaskiego 26",PdSuwPulaskp,2018-08-01,,tło,miejski,kontenerowa stacjonarna,PODLASKIE,Suwałki,ul. Pułaskiego 26,54.115897,22.938464
702,PdSuwPulaski,PL0152A,"Suwałki, ul. Pułaskiego 73",,1992-03-18,2017-12-31,tło,miejski,kontenerowa stacjonarna,PODLASKIE,Suwałki,ul. Pułaskiego,54.117878,22.934608
703,PdZambObronZamb,,Zambrów ul Obrońców Zambrowa 50,,1997-01-02,2002-12-31,tło,miejski,w budynku,PODLASKIE,Zambrów,ul. Obrońców Zambrowa 50,52.985556,22.253333
704,PkCzarnaWSSENafGaz,PL0153A,Czarna-OśrNaftaGaz-WSSE,,1994-01-01,2006-12-31,tło,pozamiejski,w budynku,PODKARPACKIE,Czarna,ul. Ośrodek Wyp-Szkol Nafta-Gaz,49.308889,22.663903
705,PkDebicaWSSEParkow,PL0154A,Dębica-Parkowa-WSSE,,1999-01-01,2009-12-31,tło,miejski,w budynku,PODKARPACKIE,Dębica,ul. Parkowa 2,50.046667,21.402222
706,PkDebiGrottg,PL0621A,"Dębica, ul.Grottgera",PkDebicaWIOSGrottgera,2015-01-01,,tło,miejski,rozproszona,PODKARPACKIE,Dębica,ul. Grottgera 3,50.054786,21.416256
707,PkGorzycWSSEKEN,,Gorzyce-KEN-WSSE,,1991-01-07,2002-12-31,przemysłowa,miejski,w budynku,PODKARPACKIE,Gorzyce,ul. Komisji Edukacji Narodowej,50.657792,21.845280
708,PkHorZdrParkMOB,PL0716A,Horyniec-Zdrój-Park,,2019-01-01,2019-12-30,tło,podmiejski,mobilna,PODKARPACKIE,Horyniec-Zdrój,al. Przyjaźni,50.192100,23.361425
709,PkHorZdrWSSESobies,PL0155A,Horyniec-Zdrój-Sobieskiego-WSSE,,1979-01-01,2009-12-31,tło,pozamiejski,w budynku,PODKARPACKIE,Horyniec-Zdrój,ul. Sobieskiego 60,50.189167,23.362222
710,PkIwonZdrRab,PL0676A,"Iwonicz Zdrój, ul. Rąba",,2017-01-01,,tło,podmiejski,wolnostojący pobornik pyłu,PODKARPACKIE,Iwonicz-Zdrój,ul. Księdza Rąba,49.565183,21.791308
711,PkIwZdrWSSEToros,,IwoniczZdr-Torosiewicza-WSSE,,1986-01-01,2006-12-31,tło,miejski,w budynku,PODKARPACKIE,Iwonicz-Zdrój,ul. Torosiewicza 2,49.561388,21.788880
712,PkJarosPruch,PL0554A,"Jarosław, ul. Pruchnicka",PkJarosWIOSPWSTE,2012-01-01,,tło,miejski,kontenerowa stacjonarna,PODKARPACKIE,Jarosław,Pruchnicka,50.012083,22.674772
713,PkJarosWIOSJanPawII,PL0410A,Jarosław-JanaPawłaII-WIOS,,2007-09-01,2010-12-31,tło,miejski,rozproszona,PODKARPACKIE,Jarosław,ul. Jana Pawła II,50.015833,22.672778
714,PkJarosWSSE3Maja,PL0411A,Jarosław - 3 Maja -WSSE,,2008-01-01,2009-12-31,tło,miejski,w budynku,PODKARPACKIE,Jarosław,ul. 3 Maja,50.013333,22.693056
715,PkJarosWSSEGrunw,PL0156A,Jarosław-Grunwaldzka-WSSE,,2002-01-01,2009-12-31,tło,miejski,w budynku,PODKARPACKIE,Jarosław,ul. Grunwaldzka 7,50.016389,22.680278
716,PkJasloSikor,PL0518A,"Jaslo, ul. Sikorskiego",PkJasloWIOSSikorskiego,2009-08-01,,tło,miejski,kontenerowa stacjonarna,PODKARPACKIE,Jasło,Sikorskiego,49.744886,21.454617
717,PkJasloWIOSFabr,PL0412A,Jasło-Fabryczna-WIOS,,2007-09-11,2009-07-31,tło,miejski,mobilna,PODKARPACKIE,Jasło,ul. Fabryczna,49.754444,21.541117
718,PkJasloWIOSFlor,PL0157A,Jasło-Floriańska-WIOS,,2003-03-01,2011-12-31,tło,miejski,w budynku,PODKARPACKIE,Jasło,ul. Floriańska 108,49.739167,21.482778
719,PkJasloWIOSFlor2,PL0275A,Jasło-Floriańska-WIOS2,,2006-08-04,2010-12-31,tło,miejski,kontenerowa stacjonarna,PODKARPACKIE,Jasło,ul. Floriańska 108,49.739444,21.482222
720,PkJasloWIOSMickiew,,Jasło-Mickiewicza-WIOS,,1993-01-01,2003-12-31,tło,miejski,w budynku,PODKARPACKIE,Jasło,ul. Mickiewicza,49.748056,21.463889
721,PkJasloWSSE3Maja,,Jasło-3Maja-WSSE,,1984-01-01,2003-12-31,tło,miejski,w budynku,PODKARPACKIE,Jasło,ul. 3 Maja 68,49.739444,21.483056
722,PkJasloWSSEFloria,,Jasło-Floriańska-WSSE,,1988-01-01,2003-12-31,tło,miejski,w budynku,PODKARPACKIE,Jasło,ul. Floriańska 108,49.747500,21.471667
723,PkJasloWSSEKoralew,,Jasło-Koralewskiego-WSSE,,1997-01-01,2005-08-31,tło,miejski,w budynku,PODKARPACKIE,Jasło,ul. Koralewskiego 13,49.747222,21.471389
724,PkJasloWSSESrocz,,Jasło-Sroczyńskiego-WSSE,,1998-01-01,2006-12-31,tło,miejski,w budynku,PODKARPACKIE,Jasło,ul. Sroczyńskiego,49.751944,21.482778
725,PkJedliTokarMOB,PL0823A,"Jedlicze, ul. Tokarskich",,2023-01-01,2023-12-31,tło,miejski,mobilna,PODKARPACKIE,Jedlicze,Tokarskich,49.714025,21.641508
726,PkKolbWSSETyszk,,Kobuszowa-Tyszkiew-WSSE,,2000-04-18,2002-12-31,tło,miejski,w budynku,PODKARPACKIE,Kolbuszowa,ul. Tyszkiewiczów 5,50.248056,21.778889
727,PkKomanWSSEOsZdr,,Komańcza-OśrodekZdr-WSSE,,1993-01-01,2006-12-31,tło,pozamiejski,w budynku,PODKARPACKIE,Komańcza,ul. Ośrodek Zdrowia,49.336111,22.068889
728,PkKrempnaMPN,PL0622A,"Krempna, Ośrodek edukacyjno-muzealny MPN",PkKrempnaWIOSMPN,2014-10-06,,tło,pozamiejski,kontenerowa stacjonarna,PODKARPACKIE,Krempna,,49.511297,21.498606
729,PkKrempWIOSGrab,,Grab-WIOŚ,,1996-01-01,2004-04-30,tło,pozamiejski,w budynku,PODKARPACKIE,Grab,ul. Grab,49.433611,21.445000
730,PkKrosKletow,PL0413A,"Krosno, ul. Kletówki",PkKrosnoWIOSKletowki,2008-01-01,,tło,miejski,rozproszona,PODKARPACKIE,Krosno,ul. Kletówki,49.690169,21.749700
731,PkKrosnoWSSEKisiel,,Krosno-Kisielewskiego-WSSE,,1992-01-01,2004-12-31,tło,miejski,w budynku,PODKARPACKIE,Krosno,ul. Kisielewskiego 12,49.683889,21.755278
732,PkKrosnoWSSEKisielewskiego,PL0257A,Krosno-Kisielewskiego,,2006-01-01,2009-12-31,tło,miejski,w budynku,PODKARPACKIE,Krosno,ul. Kisielewskiego 12,49.683611,21.755556
733,PkKrosnoWSSELewak,PL0159A,Krosno-Lewakowskiego-WSSE,,1984-01-01,2006-12-31,tło,miejski,w budynku,PODKARPACKIE,Krosno,ul. Lewakowskiego 14,49.693889,21.755278
734,PkKrosnoWSSEStasz,,Krosno-Staszica-WSSE,,1984-01-01,2003-12-31,tło,miejski,w budynku,PODKARPACKIE,Krosno,ul. Staszica,49.691667,21.767222
735,PkLatosZdrojMOB,PL0749A,Latoszyn-Zdrój-mobilna,,2020-12-31,2021-12-14,tło,pozamiejski,mobilna,PODKARPACKIE,Latoszyn,,50.019053,21.369344
736,PkLeskoWSSERynek,PL0160A,Lesko-Rynek-WSSE,,2004-01-01,2009-12-31,tło,miejski,w budynku,PODKARPACKIE,Lesko,ul. Rynek1,49.468889,22.331111
737,PkLubaczWSSEMickiew,,Lubaczów-Mickiewicza-WSSE,,1981-01-01,2003-12-31,tło,miejski,w budynku,PODKARPACKIE,Lubaczów,ul. Mickiewicza 45,50.160833,23.120833
738,PkMielBierna,PL0677A,"Mielec, ul. Biernackiego",,2017-01-01,,tło,miejski,kontenerowa stacjonarna,PODKARPACKIE,Mielec,ul. Biernackiego,50.299128,21.440942
739,PkMielPogodn,PL0652A,"Mielec, ul. Pogodna",,2016-01-01,,przemysłowa,miejski,rozproszona,PODKARPACKIE,Mielec,Pogodna 2,50.318036,21.486372
740,PkMielSolski,PL0623A,Mielec-MOSIR-WIOS,PkMielecWIOSSolskiego,2014-10-06,2016-12-31,tło,miejski,kontenerowa stacjonarna,PODKARPACKIE,Mielec,ul. Solskiego,50.300761,21.434331
741,PkMielWSSEGrunw,PL0223A,MIelec-Grunwaldzka-WSSE,,2004-01-01,2009-12-31,tło,miejski,w budynku,PODKARPACKIE,Mielec,ul. Grunwaldzka 7,50.296667,21.435833
742,PkMielWSSESklodow,,MIelec-M.C.Skłodowskiej-WSSE,,1992-01-01,2004-12-31,tło,miejski,w budynku,PODKARPACKIE,Mielec,ul. M. Curie Skłodowskiej 6,50.295278,21.441667
743,PkMielZaStre,PL0258A,Mielec - Zarząd Strefy,PkMielWIOSZarzStr,2005-08-29,2015-12-31,tło,miejski,rozproszona,PODKARPACKIE,Mielec,ul. Zarząd Strefy,50.304008,21.471200
744,PkNiskoSzkla,PL0276A,"Nisko, ul. Szklarniowa",PkNiskoWIOSSzklar,1989-01-01,,tło,miejski,kontenerowa stacjonarna,PODKARPACKIE,Nisko,Szklarniowa,50.529892,22.112467
745,PkPolanWSSEStPomp,PL0161A,Polańczyk-St.pomp-WSSE,,1994-01-01,2006-12-31,tło,pozamiejski,w budynku,PODKARPACKIE,Polańczyk,ul. stacja pomp wody pitnej,49.370000,22.426389
746,PkPolanZdrojMOB,PL0770A,Polanczyk-mobilna,,2020-01-01,2020-12-16,tło,pozamiejski,mobilna,PODKARPACKIE,Polańczyk,Zdrojowa,49.374208,22.439453
747,PkPrzemGrunw,PL0594A,"Przemyśl, ul. Grunwaldzka",PkPrzemyslWIOSGrunw,2013-01-01,,tło,miejski,kontenerowa stacjonarna,PODKARPACKIE,Przemyśl,ul. Grunwaldzka,49.784339,22.756239
748,PkPrzemWIOSDolin,,Przemyśl-Dolińskiego-WIOŚ,,1993-11-03,2002-04-30,tło,miejski,w budynku,PODKARPACKIE,Przemyśl,ul. Dolińskiego 4,49.786667,22.758056
749,PkPrzemWIOSPDom,PL0162A,Przemyśl-Pl.Dominikański-WIOS,,2002-01-01,2011-12-31,tło,miejski,w budynku,PODKARPACKIE,Przemyśl,pl. Dominikański,49.782778,22.766667
750,PkPrzemWSSEGlaz,,Przemyśl-Glazera-WSSE,,1993-01-01,2003-12-31,tło,miejski,w budynku,PODKARPACKIE,Przemyśl,ul. Glazera 9,49.786667,22.759167
751,PkPrzemWSSEMariac,,Przemyśl-Mariacka-WSSE,,1985-03-13,2005-06-30,tło,miejski,w budynku,PODKARPACKIE,Przemyśl,ul. Mariacka 4,49.778333,22.788611
752,PkPrzemyslWIOSMick,PL0414A,Przemyśl-Mickiewicza-WIOS,,2007-09-11,2012-12-31,tło,miejski,mobilna,PODKARPACKIE,Przemyśl,ul. Mickiewicza,49.782433,22.782908
753,PkPrzewWSSERynek,,Przeworsk-Rynek-WSSE,,1981-01-01,2003-12-31,tło,miejski,w budynku,PODKARPACKIE,Przeworsk,ul. Rynek 1,50.056389,22.478056
754,PkRudnikKoncMOB,PL0811A,"Rudnik nad Sanem, ul. Kończycka",,2022-01-01,2022-12-19,tło,miejski,mobilna,PODKARPACKIE,Rudnik nad Sanem,ul. Kończycka,50.441956,22.242417
755,PkRymZdrPark,PL0678A,"Rymanów Zdrój, ul. Parkowa",,2017-01-01,,tło,podmiejski,kontenerowa stacjonarna,PODKARPACKIE,Rymanów-Zdrój,Parkowa 5,49.546539,21.851006
756,PkRymZdrWSSEZdr,PL0163A,Rymanów Zdrój - Zdrojowa - WSSE,,1986-01-01,2006-12-31,tło,miejski,w budynku,PODKARPACKIE,Rymanów-Zdrój,ul. Zdrojowa 53,49.546944,21.849444
757,PkRzeszPilsu,PL0736A,"Rzeszów, ul. Piłsudskiego",,2019-01-01,,komunikacyjna,miejski,kontenerowa stacjonarna,PODKARPACKIE,Rzeszów,Piłsudskiego,50.040675,22.004656
758,PkRzeszRejta,PL0495A,"Rzeszów, ul. Rejtana",PkRzeszWIOSNoweMiasto,2010-02-01,,tło,miejski,kontenerowa stacjonarna,PODKARPACKIE,Rzeszów,Rejtana,50.024242,22.010575
759,PkRzeszSloci,PL0824A,"Rzeszów, ul. Słocińska",,2023-01-01,,tło,miejski,kontenerowa stacjonarna,PODKARPACKIE,Rzeszów,Słocińska 4,50.024856,22.047937
760,PkRzeszStarz,PL0825A,"Rzeszów, ul. Starzyńskiego",,2023-01-01,,tło,miejski,kontenerowa stacjonarna,PODKARPACKIE,Rzeszów,Starzyńskiego 17,50.060381,21.980511
761,PkRzeszWIOSSzop,PL0224A,Rzeszów-Szopena WIOS,,2005-01-01,2012-12-31,tło,miejski,kontenerowa stacjonarna,PODKARPACKIE,Rzeszów,ul. Szopena,50.034031,22.010733
762,PkRzeszWSSEGrunw,,Rzeszów-Grunwaldzka-WSSE,,2001-01-01,2003-12-31,tło,miejski,w budynku,PODKARPACKIE,Rzeszów,ul. Grunwaldzka,50.040278,22.001944
763,PkRzeszWSSEPilsud,PL0225A,Rzeszów-Pilsudskiego-WSSE,,2004-01-01,2009-12-31,komunikacyjna,miejski,w budynku,PODKARPACKIE,Rzeszów,ul. Piłsudskiego,50.041389,22.001667
764,PkRzeszWSSEPoniat,PL0226A,Rzeszów-Poniatowskiego-WSSE,,1989-01-01,2009-12-31,tło,miejski,w budynku,PODKARPACKIE,Rzeszów,ul. Poniatowskiego 4,50.033889,21.996944
765,PkRzeszWSSESkubisz,PL0227A,Rzeszów-Skubisza-WSSE,,1989-01-01,2006-12-31,tło,miejski,w budynku,PODKARPACKIE,Rzeszów,ul. Skubisza 9,50.053889,21.981944
766,PkRzeszWSSEWierzb,PL0228A,Rzeszów-Wierzbowa-WSSE,,1989-01-01,2009-12-31,tło,miejski,w budynku,PODKARPACKIE,Rzeszów,ul. Wierzbowa 16,50.034167,22.014444
767,PkSanokWSSEJanPawl,PL0229A,Sanok-JanaPawła-WSSE,,1984-01-01,2009-12-31,tło,miejski,w budynku,PODKARPACKIE,Sanok,ul. Jana Pawła II 38,49.571111,22.197778
768,PkSanokWSSEJezier,PL0230A,Sanok-Jezierskiego-WSSE,,1984-01-01,2009-12-31,tło,miejski,w budynku,PODKARPACKIE,Sanok,ul. Jezierskiego 39,49.550278,22.201111
769,PkSanokWSSEMickew,,Sanok-Mickiewicza-WSSE,,1984-01-01,2003-12-31,tło,miejski,w budynku,PODKARPACKIE,Sanok,ul. Mickiewicza,49.560278,22.201944
770,PkSanoSadowa,PL0555A,"Sanok, ul. Sadowa",PkSanokWIOSSadowa,2012-01-01,,tło,miejski,rozproszona,PODKARPACKIE,Sanok,Sadowa,49.571731,22.195892
771,PkStWolWoPol,PL0696A,"Stalowa Wola, ul. Wojska Polskiego",,2018-01-01,,tło,miejski,wolnostojący pobornik pyłu,PODKARPACKIE,Stalowa Wola,Wojska Polskiego 9,50.577828,22.054336
772,PkStWolWSSENiezl,PL0231A,StalowaWola-Niezłomnych-WSSE,,1989-01-01,2009-12-31,tło,miejski,w budynku,PODKARPACKIE,Stalowa Wola,ul. NIezłomnych 66,50.570833,22.048611
773,PkTarnDabrow,PL0595A,"Tarnobrzeg, ul. Dąbrowskiej",PkTarnobWIOSDabrow,2012-04-01,,tło,miejski,rozproszona,PODKARPACKIE,Tarnobrzeg,ul. Marii Dąbrowskiej,50.575742,21.688367
774,PkTarnobWIOSSwBarb,PL0232A,Tarnobrzeg-Św Barbary-WIOŚ,,2000-04-01,2011-12-31,tło,miejski,w budynku,PODKARPACKIE,Tarnobrzeg,ul. Św. Barbary 12,50.568889,21.683894
775,PkTarnobWSSE1Maja,PL0233A,Tarnobrzeg-1goMaja-WSSE,,1965-01-01,2009-12-31,tło,miejski,w budynku,PODKARPACKIE,Tarnobrzeg,ul. 1 Maja 5,50.569722,21.664444
776,PkTarnobWSSEWarszaw,,Tarnobrzeg-Warszawska-WSSE,,1999-04-06,2003-12-31,tło,miejski,w budynku,PODKARPACKIE,Tarnobrzeg,ul. Warszawska 378,50.636111,21.753889
777,PkTarnobWSSEWiejs,,Tarnobrzeg-Wiejska-WSSE,,1999-06-04,2003-12-31,tło,miejski,w budynku,PODKARPACKIE,Tarnobrzeg,ul. Wiejska 4,50.586111,21.686111
778,PkUsDolWSSEKoper,PL0277A,Ustrzyki Dolne-Kopernika-WSSE,,2007-01-01,2009-12-31,tło,miejski,w budynku,PODKARPACKIE,Ustrzyki Dolne,ul. Kopernika,49.430833,22.590556
779,PkUstDolWSSEBelz,PL0259A,UstrzykiDln-Bełska-WSSE,,1996-01-01,2006-12-31,tło,miejski,w budynku,PODKARPACKIE,Ustrzyki Dolne,ul. Bełska 7,49.430556,22.588611
780,Pm.00.s218m,PL0416A,WSSE Gdynia Środmieście,,2004-01-01,2009-12-31,tło,miejski,w budynku,POMORSKIE,Gdynia,ul. Żwirki i Wigury 14,54.515556,18.538889
781,Pm.00.s231m,PL0417A,WSSE Sopot,,2004-01-01,2009-12-31,tło,miejski,w budynku,POMORSKIE,Sopot,ul. Chrobrego 6/8,54.440000,18.568333
782,Pm.00.s234m,PL0418A,WSSE Gdynia Karwiny,,2004-01-01,2009-12-31,tło,miejski,w budynku,POMORSKIE,Gdynia,ul. Staffa 10,54.473333,18.498333
783,Pm.00.s237m,PL0278A,WIOŚ Gdynia - Piłsudskiego,,2004-08-17,2011-12-31,komunikacyjna,miejski,w budynku,POMORSKIE,Gdynia,ul. Piłsudskiego 52/54,54.508097,18.539853
784,Pm.00.s428m,PL0419A,WSSE Gdańsk Wrzeszcz Dębinki,,2003-04-24,2009-12-31,tło,miejski,w budynku,POMORSKIE,Gdańsk,ul. Dębinki 4,54.365833,18.627778
785,Pm.00.s473m,PL0420A,WSSE Gdańsk Nowy Port,,2004-01-05,2009-12-31,tło,miejski,w budynku,POMORSKIE,Gdańsk,ul. Na Zaspę 31a,54.402222,18.664167
786,Pm.00.s476m,PL0421A,WSSE Gdańsk Wrzeszcz,,2004-01-05,2009-12-31,tło,miejski,w budynku,POMORSKIE,Gdańsk,ul. Legionów 11,54.386111,18.612222
787,Pm.00.s477m,PL0279A,WSSE Gdańsk Śródmieście,,2004-01-01,2009-12-31,tło,miejski,w budynku,POMORSKIE,Gdańsk,ul. Rajska 6,54.355278,18.650556
788,Pm.00.s479m,PL0422A,WSSE Gdańsk Morena,,2004-01-05,2009-12-31,tło,miejski,w budynku,POMORSKIE,Gdańsk,ul. Jaśkowa Dolina 105,54.358333,18.586111
789,Pm.01w.01m,PL0280A,WIOŚ-Gdynia,,2007-02-01,2008-03-31,tło,miejski,kontenerowa stacjonarna,POMORSKIE,Gdynia,ul. Kopernika,54.494444,18.554167
790,Pm.02.s631m,PL0423A,WSSE Chojnice,,2004-01-02,2009-12-31,tło,miejski,w budynku,POMORSKIE,Chojnice,ul. Szpitalna 3,53.695000,17.557778
791,Pm.04.s472m,PL0424A,WSSE Pruszcz Gdański,,2004-01-01,2009-12-31,tło,miejski,w budynku,POMORSKIE,Pruszcz Gdański,ul. Wojska Polskiego 9,54.259722,18.633611
792,Pm.06.s711m,PL0425A,WSSE Kościerzyna,,2004-01-01,2009-12-31,tło,miejski,w budynku,POMORSKIE,Kościerzyna,ul. Rynek 9,54.122500,17.978611
793,Pm.06.s712m,PL0167A,WIOŚ Kościerzyna - Staszica,,2003-05-26,2011-12-31,tło,miejski,w budynku,POMORSKIE,Kościerzyna,ul. Staszica 6,54.119167,17.968611
794,Pm.07.s005m,PL0426A,WSSE Kwidzyn,,2004-01-05,2009-12-31,tło,miejski,w budynku,POMORSKIE,Kwidzyn,ul. Chopina 40,53.733056,18.926111
795,Pm.08.s076m,PL0427A,WSSE Lębork,,2004-01-05,2009-12-31,tło,miejski,w budynku,POMORSKIE,Lębork,ul. Czołgistów 5,54.539167,17.742778
796,Pm.08.s077m,PL0428A,WSSE Łeba,,2004-01-05,2009-12-31,tło,miejski,w budynku,POMORSKIE,Łeba,ul. Nadmorska 8,54.764722,17.563889
797,Pm.09.s067m,PL0429A,WSSE Malbork,,2004-01-05,2009-12-31,tło,miejski,w budynku,POMORSKIE,Malbork,ul. Konopnickiej 6,54.031667,19.034167
798,Pm.12.s063m,PL0430A,WSSE Ustka,,2004-01-05,2009-12-31,tło,miejski,w budynku,POMORSKIE,Ustka,ul. Marynarki Polskiej 5,54.588056,16.854167
799,Pm.13.s618m,PL0431A,WSSE Starogard,,2004-01-02,2009-12-31,tło,miejski,w budynku,POMORSKIE,Starogard Gdański,ul. Rynek - Ratusz Miejski,53.966667,18.534444
800,Pm.14.s512m,PL0432A,WSSE Tczew,,2004-01-05,2009-12-31,tło,miejski,w budynku,POMORSKIE,Tczew,ul. Obrońców Westerplatte 10,54.090278,18.797222
801,Pm.15.s128m,PL0433A,WSSE Wejherowo,,2004-01-01,2009-12-31,tło,miejski,w budynku,POMORSKIE,Wejherowo,ul. Obrońców Helu 3,54.608611,18.248056
802,Pm.63.s073m,PL0434A,WSSE Słupsk,,2004-01-01,2009-12-31,tło,miejski,w budynku,POMORSKIE,Słupsk,ul. Szarych Szeregów 15,54.468611,17.036111
803,Pm.63.s079m,PL0170A,WSSE Słupsk - Towarowa/Piotra Skargi,,2004-01-01,2009-12-31,tło,miejski,w budynku,POMORSKIE,Słupsk,ul. Towarowa 1/Piotra Skargi 8,54.464444,17.013056
804,Pm.63.wDSMm,PL0172A,WIOŚ DS Słupsk - Kniaziewicza malualny,,2001-01-20,2012-12-31,tło,miejski,kontenerowa stacjonarna,POMORSKIE,Słupsk,ul. Kniaziewicza 30,54.463611,17.046667
805,Pm.a09a,PL0053A,AM9 Gdynia Redłowo,,1999-09-01,2009-12-31,tło,miejski,kontenerowa stacjonarna,POMORSKIE,Gdynia,ul. Kopernika,54.483333,18.550000
806,Pm.aw07m,PL0521A,WIOŚ Tczew - Targowa,,2010-01-01,2011-02-28,tło,miejski,kontenerowa stacjonarna,POMORSKIE,Tczew,ul. Targowa,54.082164,18.786156
807,Pm14TCZEw06m,PL0164A,Tczew manualny,,2004-08-01,2009-12-31,tło,miejski,kontenerowa stacjonarna,POMORSKIE,Tczew,ul. Jarosława Dąbrowskiego,54.086944,18.797222
808,PmChojPlEmsdMOB,PL0758A,"Chojnice, Pl. Emsdetten",PmChojnMOB,2020-03-20,2022-12-19,tło,miejski,mobilna,POMORSKIE,Chojnice,plac Emsdetten,53.696546,17.564500
809,PmGac,PL0281A,WIOŚ Gać - Słowiński Park Narodowy,Pm.D,2004-07-01,2015-12-31,tło,pozamiejski,wolnostojący pobornik pyłu,POMORSKIE,Gać,,54.693806,17.458067
810,PmGdaGleboka,PL0166A,WIOŚ Gdańsk - Głęboka,Pm.00.s481m,2004-01-01,2016-12-31,tło,miejski,wolnostojący pobornik pyłu,POMORSKIE,Gdańsk,ul. Głęboka 11,54.352722,18.673417
811,PmGdaGrunwalTMP,PL0775A,"Gdańsk, Al. Grunwaldzka",,2024-01-01,,komunikacyjna,miejski,kontenerowa stacjonarna,POMORSKIE,Gdańsk,,54.378059,18.607995
812,PmGdaKacze02,PL0046A,AM2 Gdańsk Stogi,Pm.a02a,1996-10-01,2020-01-01,tło,miejski,kontenerowa stacjonarna,POMORSKIE,Gdańsk,ul. Kaczeńce,54.367778,18.701111
813,PmGdaLeczk81,PL0522A,"Gdańsk, ul. Leczkowa 1",Pm.aw08m,2008-05-01,2021-12-31,tło,miejski,wolnostojący pobornik pyłu,POMORSKIE,Gdańsk,ul. Leczkowa,54.380279,18.620274
814,PmGdaLeczkow,PL0052A,"Gdańsk, ul. Leczkowa","Pm.a08a, PmGdaLeczk08, PmGdaLecz08m",1998-10-01,,tło,miejski,kontenerowa stacjonarna,POMORSKIE,Gdańsk,ul. Leczkowa,54.380279,18.620274
815,PmGdaOstrz05,PL0049A,AM5 Gdańsk Szadółki,Pm.a05a,1998-05-01,2019-12-31,tło,miejski,kontenerowa stacjonarna,POMORSKIE,Gdańsk,ul. Ostrzycka,54.328336,18.557781
816,PmGdaPowWars,PL0045A,"Gdańsk, ul. Powstańców Warszawskich","Pm.a01a, PmGdaPoWie01",1996-10-01,2022-12-31,tło,miejski,kontenerowa stacjonarna,POMORSKIE,Gdańsk,ul. Powstańców Warszawskich,54.353336,18.635283
817,PmGdaPowWiel,PL0497A,"Gdańsk, ul. Powstańców Wielkopolskich",Pm.01w.02m,2010-01-01,,tło,miejski,wolnostojący pobornik pyłu,POMORSKIE,Gdańsk,ul. Powstańców Wielkopolskich,54.398639,18.614333
818,PmGdaWyzwole,PL0047A,"Gdańsk, ul. Wyzwolenia","Pm.a03a, PmGdaWyzwo03",1998-09-01,,tło,miejski,kontenerowa stacjonarna,POMORSKIE,Gdańsk,ul. Wyzwolenia,54.400833,18.657497
819,PmGdyJozBema,PL0557A,WIOŚ Gdynia - Bema,Pm.00.w237m,2012-01-01,2019-12-31,tło,miejski,wolnostojący pobornik pyłu,POMORSKIE,Gdynia,ul. Bema,54.50805,18.539831
820,PmGdyPorebsk,PL0048A,"Gdynia, ul. Porębskiego","Pm.a04a, PmGdyPoreb04",1997-03-01,,tło,miejski,kontenerowa stacjonarna,POMORSKIE,Gdynia,ul. Porębskiego,54.560836,18.493331
821,PmGdySzafran,PL0520A,"Gdynia, ul. Szafranowa","Pm.a09aN, PmGdySzaf09N",2009-12-01,2022-12-31,tło,miejski,kontenerowa stacjonarna,POMORSKIE,Gdynia,ul. Szafranowa,54.465758,18.464911
822,PmGdyWendy10,PL0310A,AM10 Gdynia Śródmieście,Pm.a10a,2000-12-01,2020-01-01,tło,miejski,kontenerowa stacjonarna,POMORSKIE,Gdynia,ul. Wendy,54.525274,18.536382
823,PmKartWejher,PL0282A,WIOŚ Kartuzy,Pm05KARTw01m,2003-02-25,2015-12-31,tło,miejski,w budynku,POMORSKIE,Kartuzy,ul. Wejhera,54.334194,18.199944
824,PmKosTargowa,PL0558A,"Kościerzyna, ul. Targowa","Pm.AM12.a, PmKosTargo12",2012-01-01,,tło,miejski,kontenerowa stacjonarna,POMORSKIE,Kościerzyna,ul. Targowa,54.120694,17.975861
825,PmKwiSportow,PL0562A,"Kwidzyn, ul. Sportowa",Pm.Kwidz.Sport.m,2010-06-20,,tło,miejski,kontenerowa stacjonarna,POMORSKIE,Kwidzyn,ul. Sportowa,53.722361,18.936917
